@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data


66567,  0.066, 11.045,  3.029,  1.758,  0.903,  3.532, 53.523, 10.848, 18.739,n
66568,  0.047, 11.001,  3.061,  1.747,  0.146,  3.607, 53.134, 11.336, 16.920,n
66569,  0.203, 10.371,  3.094,  1.727, -1.738,  3.749, 52.055, 11.835, 14.652,n
66570,  0.287,  9.839,  3.118,  1.716, -1.687,  3.949, 50.790, 12.340, 11.858,n
66573,  0.371,  9.307,  3.140,  1.702, -1.813,  4.068, 49.719, 12.855,  8.163,n
66596,  0.442,  8.844,  3.149,  1.693, 17.166,  3.325, 43.246, 13.319,  5.076,n
66597,  1.252, 19.300,  3.221,  1.693, 20.013,  2.460, 31.877, 13.625,  3.756,n
66598,  2.077, 33.114,  3.504,  2.097, 17.347,  1.636, 23.299, 13.846,  2.997,n
66599,  2.796, 41.986,  3.859,  2.981, 13.844,  0.912, 17.983, 14.024,  2.498,n
66600,  3.337, 46.509,  4.265,  4.023, 11.972, -0.050, 18.951, 14.043,  2.418,n
66602,  3.747, 49.332,  4.686,  5.770,-11.509, -0.094, 20.058, 13.848,  3.062,n
66605,  3.156, 58.656,  5.162,  9.648, -0.987, -0.535, 25.744, 13.565,  4.566,n
66606,  2.931, 59.228,  5.590, 13.198, -1.602, -0.911, 30.114, 13.200,  7.291,n
66607,  2.619, 59.540,  5.984, 16.187, -1.981, -1.198, 32.803, 12.799, 11.472,n
66608,  2.263, 59.513,  6.323, 18.041,  2.567, -1.540, 33.043, 12.425, 16.213,n
66609,  2.165, 59.196,  6.602, 18.770,  5.490, -1.706, 31.298, 12.023, 21.930,n
66615,  2.332, 59.599,  6.863, 18.988,  0.043, -1.659, 31.527, 11.576, 27.264,n
66616,  2.378, 59.321,  7.188, 19.382,  2.413, -1.721, 31.096, 11.112, 32.254,n
66617,  2.596, 58.051,  7.515, 19.747,  4.143, -1.861, 29.874, 10.619, 36.702,n
66618,  2.924, 56.194,  7.857, 20.266,  3.390, -1.973, 28.961, 10.095, 40.413,n
66619,  3.191, 54.517,  8.203, 21.098,  5.308, -2.203, 26.798,  9.558, 43.440,n
66620,  3.493, 53.379,  8.579, 21.686,  3.159, -2.379, 25.605,  8.996, 45.584,n
66621,  3.626, 52.809,  9.008, 21.964,  1.146, -2.461, 25.172,  8.432, 47.060,n
66622,  3.620, 52.838,  9.447, 21.778, -1.129, -2.442, 25.233,  7.882, 48.132,n
66623,  3.506, 53.614,  9.888, 20.784,  0.642, -2.492, 24.974,  7.294, 48.055,n
66624,  3.490, 53.705, 10.352, 19.891,  1.948, -2.590, 24.310,  6.678, 46.781,n
