@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@attribute class {on,off, openclose, open, close, bus}
@DATA
5.357E0,4.134E-2,3.475E-3,2.884E2,1.969E-3,7.678E-2,0E0,1.284E1,0E0,0E0,0E0,1.162E2,3.773E0,2.37E0,1.839E0,1.883E0,1.678E0,1.525E0,1.214E0,1.182E0,1.32E0,1.274E0,1.304E0,1.141E0,1.051E-1,1.381E-1,2.124E-1,1.388E-1,1.097E-1,8.479E-2,7.516E-2,5.563E-2,6.901E-2,0E0,2.394E-1,7.132E0,3.911E2,4.299E4,8.021E6,1.601E1,9.952E-2,3.339E-3,1.485E3,4.583E-3,1.854E-1,0E0,3.74E1,0E0,0E0,0E0,-1.08E2,1.175E1,-2.461E0,-2.026E0,5.646E-1,9.301E-2,-1.552E0,-3.312E-1,-1.328E0,-1.562E0,-2.777E-1,-1.101E0,-1.121E0,-9.552E-1,7.627E-1,-1.18E-1,1.455E-1,-2.919E-3,-7.06E-2,3.606E-4,-5.236E-3,-2.665E-3,0E0,4.955E-1,3.207E1,1.388E3,1.397E5,2.271E7,bus
2.242E0,1.205E-2,3.22E-3,2.728E2,2.497E-3,8.602E-2,0E0,5.681E0,0E0,0E0,0E0,1.154E2,3.364E0,1.737E0,1.521E0,1.431E0,1.824E0,1.791E0,1.192E0,1.091E0,1.48E0,1.32E0,1.256E0,1.045E0,1.052E-1,1.702E-1,1.51E-1,1.224E-1,7.266E-2,6.847E-2,5.184E-2,5.266E-2,6.096E-2,0E0,1.618E-1,6.257E0,5.04E2,5.196E4,9.146E6,1.021E1,5.087E-2,4.79E-3,1.482E3,6.588E-3,2.59E-1,0E0,2.324E1,0E0,0E0,0E0,-1.12E2,1.555E1,1.679E0,7.315E-1,-1.656E0,-3.273E0,-9.824E-1,-4.189E-1,-6.135E-1,-3.26E-1,-4.822E-2,-1.04E0,1.287E-1,-9.745E-1,6.957E-1,9.347E-2,1.951E-1,5.46E-2,-3.343E-3,6.755E-2,8.209E-2,5.091E-2,0E0,5.143E-1,2.514E1,1.33E3,1.482E5,2.409E7,bus
5.789E0,7.789E-2,1.82E-3,2.901E2,1.362E-3,5.092E-2,0E0,1.937E1,0E0,0E0,0E0,1.261E2,2.732E0,2.015E0,1.76E0,2.056E0,1.453E0,1.781E0,1.524E0,1.302E0,1.501E0,1.277E0,1.185E0,1.219E0,1.21E-1,2.306E-1,2.165E-1,1.807E-1,1.183E-1,9.554E-2,8.797E-2,6.258E-2,8.814E-2,0E0,1.391E-1,9.35E0,6.356E2,3.83E4,7.031E6,1.659E1,1.068E-1,2.046E-3,1.46E3,3.46E-3,1.373E-1,0E0,3.951E1,0E0,0E0,0E0,-1.179E2,1.223E1,-2.449E0,-3.318E0,3.314E-1,2.512E-1,-1.821E0,-8.175E-1,4.122E-2,-1.887E0,-7.535E-2,-1.222E0,-1.427E0,-9.465E-1,7.258E-1,-1.488E-1,2.51E-1,-2.426E-2,-9.912E-2,3.042E-2,-9.366E-3,-6.414E-2,0E0,3.662E-1,3.312E1,1.546E3,1.501E5,2.439E7,bus
2.453E0,1.525E-2,8.807E-4,1.872E2,1.064E-3,3.76E-2,3.984E-2,7.936E0,0E0,0E0,0E0,6.701E1,2.645E0,1.813E0,1.415E0,1.524E0,1.396E0,1.334E0,1.29E0,1.266E0,1.372E0,1.192E0,1.465E0,1.228E0,6.214E-2,1.515E-1,1.234E-1,1.018E-1,8.88E-2,6.586E-2,5.349E-2,5.342E-2,5.754E-2,0E0,8.024E-2,6.852E0,5.186E2,3.94E4,6.827E6,1.172E1,6.045E-2,1.035E-3,1.504E3,2.819E-3,1.108E-1,5.442E-1,2.965E1,0E0,0E0,0E0,-1.149E2,1.304E1,2.153E0,-1.226E0,-2.091E0,-1.978E0,-3.062E-1,-6.194E-1,-9.584E-1,-5.011E-1,-3.413E-1,-8.092E-1,2.01E-2,-9.761E-1,6.399E-1,-2.266E-2,3.037E-1,6.569E-2,1.992E-2,7.668E-2,3.836E-2,-1.639E-3,0E0,2.6E-1,3.143E1,1.855E3,1.956E5,3.168E7,bus
6.222E0,4.837E-2,8.544E-3,3.399E2,2.881E-3,1.037E-1,0E0,1.943E1,0E0,0E0,0E0,1.464E2,7.31E0,3.722E0,2.745E0,1.954E0,1.695E0,1.488E0,1.069E0,1.119E0,1.523E0,1.243E0,1.031E0,9.8E-1,1.4E-1,2.539E-1,1.723E-1,1.279E-1,9.203E-2,8.29E-2,8.055E-2,8.413E-2,6.244E-2,0E0,2.98E-1,1.713E1,1.262E3,1.027E5,1.882E7,1.052E1,6.023E-2,2.88E-3,1.419E3,1.819E-3,7.239E-2,0E0,3.062E1,0E0,0E0,0E0,-1.656E2,1.16E1,4.452E0,1.405E0,7.122E-1,2.133E-1,4.809E-1,-4.064E-2,-2.742E-1,-1.074E0,-5.562E-1,-3.478E-1,-7.795E-1,-9.527E-1,4.116E-1,3.956E-2,9.547E-2,8.301E-2,8.914E-2,-2.276E-2,3.054E-2,1.927E-2,0E0,1.543E-1,3.503E1,2.511E3,2.65E5,4.727E7,close
8.459E0,4.919E-2,1.755E-3,3.138E2,1.317E-3,6.352E-2,0E0,2.095E1,0E0,0E0,0E0,1.362E2,3.431E0,2.915E0,2.112E0,1.452E0,1.876E0,1.569E0,1.391E0,1.218E0,1.275E0,1.216E0,1.199E0,1.198E0,1.287E-1,2.285E-1,1.254E-1,6.974E-2,7.181E-2,7.048E-2,5.303E-2,6.834E-2,5.653E-2,0E0,1.323E-1,1.598E1,1.184E3,8.288E4,1.585E7,2.331E1,1.286E-1,4.62E-4,1.43E3,4.486E-4,2.12E-2,0E0,6.451E1,0E0,0E0,0E0,-1.863E2,5.571E0,-1.053E0,-1.382E0,6.152E-1,-2.872E-1,-1.071E0,-7.186E-1,-2.135E-1,-1.11E0,-7.802E-1,-5.888E-1,-6.925E-1,-8.897E-1,1.488E-1,8.033E-2,1.182E-1,4.263E-2,5.244E-2,-3.612E-2,1.043E-2,-1.304E-2,0E0,4.992E-2,6.032E1,4.289E3,3.574E5,6.642E7,close
1.099E1,9.169E-2,6.701E-3,3.16E2,2.388E-3,7.162E-2,0E0,2.573E1,0E0,0E0,0E0,1.281E2,3.912E0,3.169E0,3.004E0,2.01E0,1.551E0,1.518E0,1.228E0,1.38E0,1.207E0,9.495E-1,8.396E-1,1.094E0,1.33E-1,2.189E-1,1.546E-1,8.975E-2,8.053E-2,6.951E-2,7.037E-2,7.998E-2,6.069E-2,0E0,2.371E-1,1.692E1,1.109E3,9.118E4,1.606E7,1.938E1,1.176E-1,1.629E-3,1.439E3,7.165E-4,2.401E-2,0E0,5.903E1,0E0,0E0,0E0,-1.816E2,6.914E0,5.355E-1,-7.239E-1,9.618E-1,7.64E-3,-1.452E-1,-2.623E-1,-4.457E-1,-8.228E-1,-4.227E-1,-8.111E-1,-6.879E-1,-9.069E-1,1.332E-1,6.575E-2,1.545E-1,6.41E-2,6.523E-2,-4.337E-2,2.642E-2,-2.387E-2,0E0,7.254E-2,5.536E1,4.136E3,3.688E5,6.814E7,close
1.409E1,1.238E-1,8.054E-3,2.675E2,1.915E-3,7.515E-2,0E0,2.918E1,0E0,0E0,0E0,1.034E2,2.987E0,2.037E0,1.484E0,1.664E0,1.416E0,1.302E0,1.523E0,1.301E0,1.099E0,1.37E0,1.185E0,1.087E0,1.314E-1,1.445E-1,1.486E-1,8.562E-2,6.719E-2,5.881E-2,5.715E-2,6.285E-2,6.548E-2,0E0,2.512E-1,1.579E1,8.784E2,7.751E4,1.092E7,2.862E1,1.934E-1,1.317E-3,1.458E3,4.683E-4,2.083E-2,0E0,7.597E1,0E0,0E0,0E0,-1.723E2,4.293E0,-4.289E-1,-6.841E-1,4.311E-1,-1.498E0,-4.066E-1,-8.079E-1,-9.187E-1,-7.916E-1,-6.15E-1,-9.688E-1,-2.673E-1,-8.591E-1,1.604E-1,-8.72E-2,1.413E-1,9.09E-2,-1.447E-2,-5.536E-2,6.454E-2,-4.214E-2,0E0,6.327E-2,6.533E1,4.211E3,3.039E5,5.86E7,close
2.048E1,2.347E-1,1.879E-3,1.804E2,1.104E-3,5.7E-2,0E0,4.169E1,0E0,0E0,0E0,2.301E1,3.849E0,2.418E0,2.036E0,1.856E0,1.719E0,1.476E0,1.529E0,1.436E0,1.281E0,1.029E0,1.178E0,1.276E0,1.504E-1,2.412E-1,1.36E-1,7.717E-2,7.472E-2,7.247E-2,6.253E-2,6.96E-2,7.016E-2,0E0,1.879E-1,1.931E1,9.678E2,8.743E4,8.304E6,3.232E1,2.782E-1,4.145E-4,1.498E3,3.496E-4,1.75E-2,0E0,9.114E1,0E0,0E0,0E0,-1.74E2,3.594E0,1.59E0,6.732E-1,1.069E0,-2.481E-1,5.323E-1,-5.025E-1,-5.976E-1,-8.127E-2,-1.788E-1,-6.503E-1,-4.364E-1,-8.108E-1,-9.412E-2,-1.795E-1,1.942E-1,-1.07E-1,1.422E-1,-1.71E-1,1.329E-1,-1.231E-1,0E0,5.262E-2,7.24E1,4.809E3,2.503E5,5.495E7,close
1.046E1,9.414E-2,1.121E-2,2.869E2,2.6E-3,8.655E-2,0E0,2.831E1,0E0,0E0,0E0,1.234E2,5.68E0,2.821E0,2.018E0,2.186E0,1.619E0,1.282E0,1.801E0,1.283E0,1.42E0,1.141E0,1.146E0,1.134E0,1.233E-1,2.032E-1,1.636E-1,1.124E-1,9.133E-2,1.108E-1,9.524E-2,5.954E-2,7.144E-2,0E0,2.937E-1,1.776E1,1.032E3,6.864E4,1.262E7,1.942E1,1.359E-1,2.387E-3,1.45E3,1.005E-3,3.867E-2,0E0,5.683E1,0E0,0E0,0E0,-1.654E2,6.204E0,2.493E0,3.553E-1,-2.306E-1,-2.235E-1,1.725E-1,-1.093E0,-5.322E-1,3.612E-2,-1.066E0,-2.144E-1,-7.505E-1,-9.09E-1,3.499E-1,-1.127E-1,4.262E-2,7.574E-2,9.383E-2,-8.524E-2,5.065E-2,2.465E-2,0E0,1.036E-1,5.027E1,3.231E3,2.775E5,5.048E7,close
