@relation activity_recognition_labeled

@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{ "Driving", "Walking" , "Sitting" , "Standing", "Still" }

@data
0.13,0.26,0.21,0.21,0.21,0.19,0.22,0.12,0.29,0.13,0.20,0.21,0.20,0.19,0.22,0,8.4,1.76,4.05,8.17,4.05,11.96,Walking
0.24,0.13,0.21,0.20,0.22,0.23,0.17,0.26,0.17,0.14,0.22,0.20,0.22,0.21,0.15,0,7.62,1.43,5.43,8.19,5.43,12.05,Walking
0.23,0.20,0.20,0.20,0.17,0.19,0.22,0.22,0.15,0.16,0.18,0.19,0.19,0.20,0.22,0,7.77,2.39,5.55,8.19,5.55,11.99,Walking
0.16,0.18,0.18,0.22,0.28,0.20,0.21,0.21,0.21,0.19,0.20,0.21,0.16,0.26,0.18,0,9.57,0.49,2.87,4.95,2.87,10.69,Walking
0.23,0.18,0.24,0.21,0.15,0.21,0.16,0.21,0.21,0.23,0.19,0.21,0.22,0.17,0.24,0,9.76,0.51,3.08,4.64,3.08,10.8,Walking
0.18,0.22,0.14,0.17,0.15,0.17,0.19,0.16,0.17,0.16,0.18,0.15,0.20,0.16,0.15,0,7.73,0.31,3.13,4.95,3.13,8.63,Walking
0.24,0.25,0.26,0.17,0.09,0.21,0.19,0.22,0.20,0.20,0.21,0.23,0.15,0.19,0.24,0,9.2,1.19,2.09,3.2,2.09,9.87,Walking
0.20,0.20,0.22,0.18,0.24,0.20,0.18,0.22,0.18,0.22,0.19,0.20,0.22,0.23,0.17,0,9.3,1.4,2.22,3.35,2.22,9.91,Walking
0.15,0.16,0.13,0.24,0.31,0.21,0.21,0.19,0.20,0.20,0.17,0.20,0.21,0.23,0.20,0,9.06,1.38,2.68,3.4,2.68,9.78,Walking
0.01,0.01,0.02,0.02,0.00,0.00,0.01,0.02,0.03,0.00,0.03,0.01,0.00,0.01,0.00,0,0.39,-0.01,1.85,9.34,1.85,0.39,Walking
0.11,0.14,0.22,0.30,0.22,0.23,0.25,0.19,0.18,0.16,0.19,0.18,0.15,0.20,0.26,0,7.93,2.69,2.6,3.6,2.6,9.52,Walking
0.20,0.25,0.19,0.18,0.20,0.20,0.17,0.22,0.19,0.22,0.21,0.23,0.22,0.18,0.17,0,8.99,2.04,1.98,3.74,1.98,9.62,Walking
0.28,0.20,0.22,0.13,0.18,0.16,0.19,0.19,0.22,0.24,0.20,0.20,0.23,0.22,0.18,0,9.16,2.2,2.24,3.7,2.24,9.89,Walking
0.01,0.02,0.01,0.00,0.02,0.00,0.02,0.01,0.02,0.00,0.01,0.02,0.01,0.01,0.01,0,0.38,0.08,1.97,9.96,1.97,0.4,Walking
0.14,0.19,0.17,0.23,0.28,0.18,0.20,0.23,0.19,0.22,0.19,0.24,0.22,0.21,0.17,0,8.83,2.38,2.05,3.4,2.05,9.69,Walking
0.26,0.18,0.25,0.18,0.15,0.20,0.22,0.17,0.23,0.20,0.22,0.22,0.16,0.17,0.24,0,8.57,2.39,2.78,3.62,2.78,9.75,Walking
0.15,0.17,0.13,0.12,0.11,0.15,0.13,0.14,0.14,0.13,0.12,0.12,0.14,0.17,0.14,0,5.7,1.54,2.75,4.86,2.75,6.42,Walking
0.13,0.17,0.19,0.23,0.28,0.18,0.22,0.22,0.21,0.20,0.18,0.20,0.19,0.24,0.21,0,9.18,2.32,1.82,3.82,1.82,9.84,Walking
0.23,0.20,0.23,0.20,0.17,0.21,0.20,0.19,0.19,0.23,0.20,0.20,0.19,0.21,0.21,0,9.17,2.3,2.11,3.84,2.11,9.9,Walking
0.17,0.17,0.12,0.10,0.08,0.15,0.13,0.13,0.13,0.11,0.15,0.11,0.15,0.10,0.12,0,5.33,1.25,2.33,4.96,2.33,5.78,Walking
0.07,0.17,0.17,0.29,0.30,0.18,0.21,0.16,0.23,0.23,0.19,0.26,0.22,0.19,0.17,0,9.02,2.23,1.55,3.36,1.55,9.67,Walking
0.17,0.16,0.24,0.23,0.23,0.21,0.18,0.23,0.19,0.20,0.22,0.17,0.22,0.19,0.22,0,8.88,2.41,2.03,3.73,2.03,9.84,Walking
0.32,0.22,0.14,0.04,0.03,0.16,0.17,0.15,0.14,0.12,0.13,0.11,0.13,0.20,0.18,0,6.15,1.97,3.42,4.28,3.42,7.23,Walking
0.09,0.17,0.20,0.24,0.30,0.22,0.20,0.17,0.22,0.21,0.15,0.25,0.20,0.22,0.20,0,9,2.58,2.13,3.95,2.13,9.79,Walking
0.27,0.17,0.22,0.20,0.16,0.21,0.19,0.24,0.15,0.22,0.21,0.17,0.22,0.20,0.22,0,9.15,2.58,2.41,4.09,2.41,10.05,Walking
0.20,0.19,0.15,0.11,0.10,0.12,0.17,0.14,0.18,0.13,0.20,0.10,0.16,0.14,0.14,0,6.74,1.74,2.21,4.59,2.21,7.37,Walking
0.13,0.11,0.22,0.26,0.28,0.18,0.20,0.26,0.17,0.22,0.21,0.22,0.19,0.22,0.20,0,9.08,2.42,2.19,3.78,2.19,9.97,Walking
0.18,0.20,0.19,0.20,0.24,0.21,0.24,0.15,0.21,0.22,0.23,0.19,0.18,0.19,0.21,0,8.65,2.59,2.32,3.9,2.32,9.8,Walking
0.23,0.21,0.11,0.09,0.03,0.13,0.11,0.13,0.16,0.10,0.07,0.14,0.14,0.15,0.15,0,5.7,1.69,2.58,5.04,2.58,6.37,Walking
0.15,0.19,0.19,0.23,0.23,0.20,0.18,0.23,0.20,0.21,0.16,0.20,0.19,0.24,0.21,0,8.93,2.42,2.27,4.05,2.27,9.74,Walking
